sep=,
#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),Y4(X),Y4'(X),Y5(X),Y5'(X),Y6(X),Y6'(X),Y7(X),Y7'(X),
Model,"ARR_DATA(I)","Integral(184.95960620,182.35769533)","B+F*exp(-x*G)
B= -249.719
F= -4239.1
G= 0.077747","Integral(144.35402748,142.46172866)","B+F*exp(-x*G)
B= 723.715
F= -6792.85
G= 0.706352","Integral(140.56942985,138.12521055)","B+F*exp(-x*G)
B= 2759.37
F= -8738.66
G= 0.136644","Integral(132.92138881,131.73870205)","B+F*exp(-x*G)
B= 4368.65
F= -10389.5
G= 0.442688","Integral(131.02909000,129.60986588)","B+F*exp(-x*G)
B= 5042.5
F= -10478.3
G= 0.338804","Integral(80.88317142,77.72934006)","B+F*exp(-x*G)
B= 7.38875e+09
F= -7.38877e+09
G= 2.24384e-07","Integral(48.47755423,46.58525541)","B+F*exp(-x*G)
B= 3910.67
F= -7197.97
G= 0.670117","Integral(26.40073473,23.32574915)","B+F*exp(-x*G)
B= 1886.51
F= -4687.87
G= 1.31612",
1,0.06250000,-4684.67491755,-4468.27273173,-5499.79491631,-5775.77668958,-5036.19281657,-5904.98586705,-6258.79620623,-5737.30320982,-5560.29537629,-5216.24212910,-27060.48190796,-24076.49667168,-1331.85901880,-2992.05818250,-2792.25325529,-2431.18329529,
2,0.12500000,-3658.10880536,-4447.82371496,-6311.52026068,-5495.08503925,-5046.87077057,-5831.30498975,-5070.04392764,-5461.52442705,-5501.24326624,-5001.29476755,-21971.77474004,-23972.87635136,-2232.15717667,-2708.92638200,-718.40139958,-2090.23654339,
3,0.25000000,-3931.38608140,-4407.22257458,-4594.11075216,-4969.54466647,-6585.52637099,-5685.81763374,-4965.12272888,-4932.33846124,-4204.97791338,-4584.81680598,-22386.95381022,-23765.63571453,-4227.64711944,-2177.02638569,-2714.23372112,-1486.98561249,
4,0.50000000,-3852.76993758,-4327.19449393,-3103.07623043,-4047.94829549,-4563.78488370,-5402.19290033,-3098.56823670,-3957.89565420,-3719.21397954,-3802.95406153,-22592.48742043,-23351.15445614,-2123.34892575,-1238.01032740,-399.04734850,-541.13166503,
5,1.00000000,-4292.29716795,-4171.73007848,-3898.90184675,-2628.15669014,-6335.42216765,-4863.19946364,-3270.55024696,-2304.58450574,-2361.01513096,-2424.56396351,-21523.48660391,-22522.19201088,600.83881150,227.83902510,234.86380580,629.34234583,
6,2.00000000,-6274.63619756,-3878.35770810,-458.69004861,-930.23569501,-4315.24868308,-3889.64804567,267.01381987,82.38123455,1098.21939752,-278.69743064,-20901.11403538,-20864.26739883,2348.31907770,2026.35572890,2742.47358845,1549.37167082,
7,4.00000000,-3083.68823821,-3355.80556159,632.66713698,321.00468851,-3011.32025712,-2299.68929969,2682.37952750,2600.31212743,1102.79378966,2340.23148913,-18404.44172918,-17548.41929054,4361.10476622,3417.38845781,1551.44831857,1862.26722224,
8,8.00000000,-1456.79144628,-2525.61914891,339.54094967,699.84080459,1444.35546626,-169.46144629,4345.31296900,4067.67202876,3865.51576933,4345.60404780,-13650.90414402,-10916.72753811,3288.27028034,3876.86830825,1518.06924866,1886.38836550,
9,16.00000000,-1819.28329958,-1471.61007921,791.61575851,723.63137308,1181.45874186,1777.74790461,4085.02729342,4359.93313070,5653.63014581,4996.14705730,3820.51305678,2346.63810921,3659.42448120,3910.51493384,1841.42702096,1886.51376976,
